k, params.Evap, params.Alpha, params.Beta, maxIter, nodes, minCost, maxCost, SC[bs], bestSolnThroughout, parallelP, msec
30, 0.100000, 1.000000, 3.000000, 300, 45, 10, 100, 1033.000000, 896.000000, 1, 5361
30, 0.100000, 1.000000, 3.000000, 300, 45, 10, 100, 920.000000, 920.000000, 1, 5346
30, 0.100000, 1.000000, 3.000000, 300, 50, 10, 100, 1184.000000, 1098.000000, 1, 6453
30, 0.100000, 1.000000, 3.000000, 300, 50, 10, 100, 1065.000000, 1065.000000, 1, 6500
30, 0.100000, 1.000000, 3.000000, 300, 50, 10, 100, 979.000000, 979.000000, 1, 6594
30, 0.100000, 1.000000, 3.000000, 300, 50, 10, 100, 956.000000, 881.000000, 1, 6351
30, 0.100000, 1.000000, 3.000000, 300, 50, 10, 100, 1099.000000, 1074.000000, 1, 6509
30, 0.100000, 1.000000, 3.000000, 300, 55, 10, 100, 1124.000000, 1069.000000, 1, 7891
30, 0.100000, 1.000000, 3.000000, 300, 55, 10, 100, 1004.000000, 1004.000000, 1, 7841
30, 0.100000, 1.000000, 3.000000, 300, 55, 10, 100, 1221.000000, 1066.000000, 1, 7568
30, 0.100000, 1.000000, 3.000000, 300, 55, 10, 100, 1095.000000, 1095.000000, 1, 7874
30, 0.100000, 1.000000, 3.000000, 300, 55, 10, 100, 1271.000000, 1208.000000, 1, 7952
30, 0.100000, 1.000000, 3.000000, 300, 60, 10, 100, 1105.000000, 1055.000000, 1, 9216
30, 0.100000, 1.000000, 3.000000, 300, 60, 10, 100, 1171.000000, 1123.000000, 1, 9390
30, 0.100000, 1.000000, 3.000000, 300, 60, 10, 100, 1194.000000, 1193.000000, 1, 9352
30, 0.100000, 1.000000, 3.000000, 300, 60, 10, 100, 1185.000000, 1113.000000, 1, 9398
30, 0.100000, 1.000000, 3.000000, 300, 60, 10, 100, 1114.000000, 1098.000000, 1, 9099
30, 0.100000, 1.000000, 3.000000, 300, 65, 10, 100, 1349.000000, 1275.000000, 1, 10943
30, 0.100000, 1.000000, 3.000000, 300, 65, 10, 100, 1268.000000, 1230.000000, 1, 10980
30, 0.100000, 1.000000, 3.000000, 300, 65, 10, 100, 1312.000000, 1287.000000, 1, 11082
30, 0.100000, 1.000000, 3.000000, 300, 65, 10, 100, 1413.000000, 1398.000000, 1, 10929
30, 0.100000, 1.000000, 3.000000, 300, 65, 10, 100, 1395.000000, 1229.000000, 1, 10969
30, 0.100000, 1.000000, 3.000000, 300, 70, 10, 100, 1388.000000, 1364.000000, 1, 12451
30, 0.100000, 1.000000, 3.000000, 300, 70, 10, 100, 1297.000000, 1261.000000, 1, 12494
30, 0.100000, 1.000000, 3.000000, 300, 70, 10, 100, 1448.000000, 1378.000000, 1, 12859
30, 0.100000, 1.000000, 3.000000, 300, 70, 10, 100, 1472.000000, 1399.000000, 1, 12526
30, 0.100000, 1.000000, 3.000000, 300, 70, 10, 100, 1519.000000, 1443.000000, 1, 12532
30, 0.100000, 1.000000, 3.000000, 300, 75, 10, 100, 1599.000000, 1486.000000, 1, 14281
